l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1,1,1,1,17,24386.67,0.04,0.02,N,O,1996-03-13,1996-02-12,1996-03-22,DELIVER IN PERSON,TRUCK,blithely
1,2,2,2,36,45983.16,0.09,0.06,N,O,1996-04-12,1996-02-28,1996-04-20,TAKE BACK RETURN,MAIL,slyly
1,3,3,3,8,13309.60,0.10,0.02,N,O,1996-01-29,1996-03-05,1996-01-31,TAKE BACK RETURN,REG AIR,carefully
2,4,4,1,38,44694.46,0.00,0.05,N,O,1997-01-28,1997-01-14,1997-02-02,TAKE BACK RETURN,RAIL,slyly
3,5,5,1,45,54058.05,0.06,0.00,R,F,1994-02-02,1994-01-04,1994-02-23,NONE,AIR,express
3,6,6,2,49,46796.47,0.10,0.00,R,F,1993-11-09,1993-12-20,1993-11-24,TAKE BACK RETURN,RAIL,blithely
4,7,7,1,30,30690.90,0.03,0.08,N,O,1996-01-10,1995-12-14,1996-01-18,DELIVER IN PERSON,REG AIR,carefully
5,8,8,1,15,23678.40,0.02,0.04,R,F,1994-10-31,1994-08-31,1994-11-20,NONE,AIR,carefully
6,9,9,1,49,85811.73,0.08,0.03,A,F,1992-04-27,1992-05-15,1992-05-02,NONE,TRUCK,blithely
7,10,10,1,12,25284.00,0.07,0.03,N,O,1996-05-07,1996-03-13,1996-06-01,TAKE BACK RETURN,FOB,slyly
