o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority
1,1,O,173665.47,1996-01-02,5-LOW,Clerk#000000951,0
2,2,O,46929.18,1996-12-01,1-URGENT,Clerk#000000880,0
3,3,F,193846.25,1993-10-14,5-LOW,Clerk#000000955,0
4,4,O,32151.78,1995-10-11,5-LOW,Clerk#000000124,0
5,5,F,144659.20,1994-07-30,5-LOW,Clerk#000000925,0
6,6,F,58749.59,1992-02-21,4-NOT SPECIFIED,Clerk#000000058,0
7,7,O,252004.18,1996-01-10,2-HIGH,Clerk#000000470,0
8,8,O,208660.75,1995-10-07,2-HIGH,Clerk#000000637,0
9,9,F,113426.15,1993-01-14,5-LOW,Clerk#000000200,0
10,10,F,60814.12,1993-07-05,5-LOW,Clerk#000000379,0
