s_suppkey,s_name,s_address,s_nationkey,s_phone,s_acctbal
1,Supplier#000000001,N kD4on9OM Ipw3,17,27-918-335-1736,5755.94
2,Supplier#000000002,89eJ5ksX3ImxJQBvxObC,5,15-679-861-2259,4032.68
3,Supplier#000000003,q1 G3Pj6OjIuUYfUoH18BFTKP,1,11-383-516-1199,4192.40
4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,25-843-787-7479,4641.08
5,Supplier#000000005,Gcdm2rJRzl5ql,11,21-151-690-3663,-283.84
6,Supplier#000000006,tQxuVm7s7CnK,14,24-696-997-4969,1365.15
7,Supplier#000000007,s4TicNGB4uO6,23,33-990-965-2201,6820.35
8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,27-498-742-3860,7627.85
9,Supplier#000000009,1KhUgZegwM3ua7dsYmekYBsK,10,20-403-398-8662,5302.37
10,Supplier#000000010,Saygah3gYWMp72i PY,24,34-852-489-8585,3891.91
